"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySizeInKb"
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,61876035.777832,1636503.664505,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,6370564.145986,188680.955340,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,15272.361090,42.158912,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,618.697827,3.931117,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,23502741.614133,568379.996937,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,2397662.182480,44662.684581,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,16866.468654,265.204860,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,1034.681798,3.140492,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,44107951.991272,366582.553559,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,5036631.792989,45000.783708,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,14821.655183,14.797843,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,620.345032,3.309074,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,47535172.829301,3669020.207719,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,7183187.660015,149333.378632,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5126.797096,46.384194,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,502.117352,1.246814,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,42503493.609988,362567.288241,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,4979552.869142,45614.123555,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,14822.806371,21.102426,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,608.441525,1.757998,"ops/s",10000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,1284047.681839,53187.612798,"ops/s",1
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,133949.617920,3404.436343,"ops/s",10
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,1736.675145,50.067239,"ops/s",1000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,170.790404,0.539759,"ops/s",10000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,1648174.802294,21131.734506,"ops/s",1
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,165624.748466,3408.981210,"ops/s",10
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,1788.486557,28.588244,"ops/s",1000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,176.877568,1.657992,"ops/s",10000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,1874462.026379,45277.762365,"ops/s",1
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,192102.087833,2369.858506,"ops/s",10
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,2037.546764,45.446571,"ops/s",1000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,208.154825,1.028186,"ops/s",10000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,21471615.553937,613995.666084,"ops/s",1
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,4262903.637006,39062.212134,"ops/s",10
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,14622.377795,24.045055,"ops/s",1000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,228.623399,0.734446,"ops/s",10000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,18782578.955546,456826.165749,"ops/s",1
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,4080296.533808,75362.551840,"ops/s",10
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5119.476459,29.933924,"ops/s",1000
"net.greypanther.BenchmarkObjectArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,209.251023,0.570548,"ops/s",10000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,6043475.833315,97135.256458,"ops/s",1
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,618554.003394,12649.353185,"ops/s",10
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,4810.831408,31.298955,"ops/s",1000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,441.964566,1.156119,"ops/s",10000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,27824510.734785,653911.624556,"ops/s",1
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,4272684.825006,102991.279234,"ops/s",10
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,15089.790950,26.231046,"ops/s",1000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,617.495243,5.468132,"ops/s",10000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,6044746.109998,108670.221736,"ops/s",1
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,624210.617566,12159.219354,"ops/s",10
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,5872.206997,105.257957,"ops/s",1000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,536.318423,0.917459,"ops/s",10000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,42440731.918831,299674.455959,"ops/s",1
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,5085714.658772,15180.178979,"ops/s",10
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,14817.693562,23.655029,"ops/s",1000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,617.574982,3.583225,"ops/s",10000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,40371933.587799,566198.459294,"ops/s",1
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,4888665.439918,85050.155817,"ops/s",10
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5120.247084,42.203338,"ops/s",1000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,502.082429,0.530563,"ops/s",10000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,42404134.770562,392930.358286,"ops/s",1
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,4974318.568119,63165.191458,"ops/s",10
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,14820.451134,29.778920,"ops/s",1000
"net.greypanther.BenchmarkShortArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,618.140934,1.457075,"ops/s",10000
